token_id,name,description,external_url,image,animation_url,item_category,item_compatibility,unlockable_content_link,address
36,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xE860A18fbb706daF1ab6b6f1BDd37cBc766a4b29
37,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xa72DFD057150E4F5405cad927307CCE23898C0E8
38,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x7616e21EB9Bdf7Ef3a63cA3049fDbbF73B93d818
39,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xfa25A191421BB6Fab2c7e63D760924780aEfD2A6
40,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x1d629D4BE27595860C57cd7057b67dC442d82AA7
41,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xdE1374b1364fC3aEa62830Ef53c270c51CF5f9b6
42,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xfA37FD315262dFF6e67305a731AA3E9a34F86475
43,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x692efc43ec7c5532328Cba0e6f44D1D8B1eB3B52
44,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x530C26635BcbEa4BabA684FD409522D778da9463
45,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x82a269C4831b7332115C15F978CB21918a0Dad6b
